 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,407,0,0,0,0,0
2,369,0,0,0,0,0
3,216,0,0,0,0,0
4,343,0,0,0,0,0
5,306,0,0,0,0,0
6,310,0,0,0,0,0
7,211,0,0,0,0,0
8,477,0,0,0,0,0
9,383,0,0,0,0,0
10,253,0,0,0,0,0
11,261,0,0,0,0,0
12,249,0,0,0,0,0
13,391,0,0,0,0,0
14,288,0,0,0,0,0
15,449,0,0,0,0,0
16,177,0,0,0,0,0
17,479,0,0,0,0,0
18,228,0,0,0,0,0
19,366,0,0,0,0,0
20,347,0,0,0,0,0
21,487,0,0,0,0,0
22,461,0,0,0,0,0
23,439,0,0,0,0,0
24,294,0,0,0,0,0
25,364,0,0,0,0,0
26,42,0,0,0,0,0
27,206,0,0,0,0,0
28,214,0,0,0,0,0
29,298,0,0,0,0,0
30,404,0,0,0,0,0
31,400,0,0,0,0,0
32,174,0,0,0,0,0
33,304,0,0,0,0,0
34,101,0,0,0,0,0
35,403,0,0,0,0,0
36,228,0,0,0,0,0
37,183,0,0,0,0,0
38,405,0,0,0,0,0
39,387,0,0,0,0,0
40,353,0,0,0,0,0
41,338,0,0,0,0,0
42,323,0,0,0,0,0
43,117,0,0,0,0,0
44,494,0,0,0,0,0
45,466,0,0,0,0,0
46,487,0,0,0,0,0
47,238,0,0,0,0,0
48,180,0,0,0,0,0
49,314,0,0,0,0,0
50,220,0,0,0,0,0
51,139,0,0,0,0,0
52,129,0,0,0,0,0
53,267,0,0,0,0,0
54,402,0,0,0,0,0
55,96,0,0,0,0,0
56,75,0,0,0,0,0
57,268,0,0,0,0,0
58,238,0,0,0,0,0
59,146,0,0,0,0,0
60,397,0,0,0,0,0
61,398,0,0,0,0,0
62,384,0,0,0,0,0
63,479,0,0,0,0,0
64,48,0,0,0,0,0
65,249,0,0,0,0,0
66,403,0,0,0,0,0
67,396,0,0,0,0,0
68,279,0,0,0,0,0
69,134,0,0,0,0,0
70,36,0,0,0,0,0
71,492,0,0,0,0,0
72,263,0,0,0,0,0
73,449,0,0,0,0,0
74,117,0,0,0,0,0
75,181,0,0,0,0,0
76,350,0,0,0,0,0
77,109,0,0,0,0,0
78,149,0,0,0,0,0
79,39,0,0,0,0,0
80,379,0,0,0,0,0
81,401,0,0,0,0,0
82,150,0,0,0,0,0
83,179,0,0,0,0,0
84,224,0,0,0,0,0
85,414,0,0,0,0,0
86,169,0,0,0,0,0
87,485,0,0,0,0,0
88,87,0,0,0,0,0
89,431,0,0,0,0,0
90,408,0,0,0,0,0
91,190,0,0,0,0,0
92,313,0,0,0,0,0
93,96,0,0,0,0,0
94,444,0,0,0,0,0
95,201,0,0,0,0,0
96,495,0,0,0,0,0
97,216,0,0,0,0,0
98,370,0,0,0,0,0
99,40,0,0,0,0,0
100,489,0,0,0,0,0
101,156,0,0,0,0,0
102,290,0,0,0,0,0
103,233,0,0,0,0,0
104,191,0,0,0,0,0
105,173,0,0,0,0,0
106,251,0,0,0,0,0
107,169,0,0,0,0,0
108,452,0,0,0,0,0
109,120,0,0,0,0,0
110,134,0,0,0,0,0
111,359,0,0,0,0,0
112,149,0,0,0,0,0
113,188,0,0,0,0,0
114,482,0,0,0,0,0
115,217,0,0,0,0,0
116,409,0,0,0,0,0
117,293,0,0,0,0,0
118,295,0,0,0,0,0
119,246,0,0,0,0,0
120,166,0,0,0,0,0
121,153,0,0,0,0,0
122,328,0,0,0,0,0
123,193,0,0,0,0,0
124,460,0,0,0,0,0
125,379,0,0,0,0,0
126,320,0,0,0,0,0
127,248,0,0,0,0,0
128,393,0,0,0,0,0
129,345,0,0,0,0,0
130,146,0,0,0,0,0
131,97,0,0,0,0,0
132,163,0,0,0,0,0
133,127,0,0,0,0,0
134,300,0,0,0,0,0
135,288,0,0,0,0,0
136,84,0,0,0,0,0
137,49,0,0,0,0,0
138,376,0,0,0,0,0
139,188,0,0,0,0,0
140,201,0,0,0,0,0
141,108,0,0,0,0,0
142,409,0,0,0,0,0
143,208,0,0,0,0,0
144,449,0,0,0,0,0
145,225,0,0,0,0,0
146,469,0,0,0,0,0
147,324,0,0,0,0,0
148,34,0,0,0,0,0
149,458,0,0,0,0,0
150,226,0,0,0,0,0
151,465,0,0,0,0,0
152,189,0,0,0,0,0
153,229,0,0,0,0,0
154,298,0,0,0,0,0
155,317,0,0,0,0,0
156,203,0,0,0,0,0
157,361,0,0,0,0,0
158,72,0,0,0,0,0
159,417,0,0,0,0,0
160,485,0,0,0,0,0
161,289,0,0,0,0,0
162,275,0,0,0,0,0
163,218,0,0,0,0,0
164,244,0,0,0,0,0
165,334,0,0,0,0,0
166,346,0,0,0,0,0
167,136,0,0,0,0,0
168,295,0,0,0,0,0
169,273,0,0,0,0,0
170,396,0,0,0,0,0
171,213,0,0,0,0,0
172,208,0,0,0,0,0
173,365,0,0,0,0,0
174,213,0,0,0,0,0
175,266,0,0,0,0,0
176,390,0,0,0,0,0
177,405,0,0,0,0,0
178,435,0,0,0,0,0
179,192,0,0,0,0,0
180,317,0,0,0,0,0
181,87,0,0,0,0,0
182,78,0,0,0,0,0
183,237,0,0,0,0,0
184,408,0,0,0,0,0
185,219,0,0,0,0,0
186,257,0,0,0,0,0
187,51,0,0,0,0,0
188,209,0,0,0,0,0
189,370,0,0,0,0,0
190,311,0,0,0,0,0
191,218,0,0,0,0,0
192,407,0,0,0,0,0
193,268,0,0,0,0,0
194,383,0,0,0,0,0
195,147,0,0,0,0,0
196,448,0,0,0,0,0
197,446,0,0,0,0,0
198,166,0,0,0,0,0
199,104,0,0,0,0,0
200,241,0,0,0,0,0
201,293,0,0,0,0,0
202,500,0,0,0,0,0
203,382,0,0,0,0,0
204,336,0,0,0,0,0
205,352,0,0,0,0,0
206,396,0,0,0,0,0
207,308,0,0,0,0,0
208,148,0,0,0,0,0
209,444,0,0,0,0,0
210,150,0,0,0,0,0
211,111,0,0,0,0,0
212,147,0,0,0,0,0
213,391,0,0,0,0,0
214,336,0,0,0,0,0
215,412,0,0,0,0,0
216,86,0,0,0,0,0
217,341,0,0,0,0,0
218,476,0,0,0,0,0
219,80,0,0,0,0,0
220,138,0,0,0,0,0
221,125,0,0,0,0,0
222,327,0,0,0,0,0
223,377,0,0,0,0,0
224,326,0,0,0,0,0
225,401,0,0,0,0,0
226,403,0,0,0,0,0
227,369,0,0,0,0,0
228,414,0,0,0,0,0
229,230,0,0,0,0,0
230,444,0,0,0,0,0
231,444,0,0,0,0,0
232,427,0,0,0,0,0
233,330,0,0,0,0,0
234,174,0,0,0,0,0
235,195,0,0,0,0,0
236,339,0,0,0,0,0
237,287,0,0,0,0,0
238,172,0,0,0,0,0
239,167,0,0,0,0,0
240,406,0,0,0,0,0
241,173,0,0,0,0,0
242,400,0,0,0,0,0
243,214,0,0,0,0,0
244,423,0,0,0,0,0
245,341,0,0,0,0,0
246,151,0,0,0,0,0
247,389,0,0,0,0,0
248,486,0,0,0,0,0
249,361,0,0,0,0,0
250,419,0,0,0,0,0
251,171,0,0,0,0,0
252,281,0,0,0,0,0
253,357,0,0,0,0,0
254,344,0,0,0,0,0
255,349,0,0,0,0,0
256,370,0,0,0,0,0
257,246,0,0,0,0,0
258,282,0,0,0,0,0
259,139,0,0,0,0,0
260,169,0,0,0,0,0
261,225,0,0,0,0,0
262,349,0,0,0,0,0
263,442,0,0,0,0,0
264,386,0,0,0,0,0
265,283,0,0,0,0,0
266,163,0,0,0,0,0
267,192,0,0,0,0,0
268,483,0,0,0,0,0
269,363,0,0,0,0,0
270,191,0,0,0,0,0
271,168,0,0,0,0,0
272,244,0,0,0,0,0
273,163,0,0,0,0,0
274,375,0,0,0,0,0
275,106,0,0,0,0,0
276,393,0,0,0,0,0
277,111,0,0,0,0,0
278,413,0,0,0,0,0
279,212,0,0,0,0,0
280,204,0,0,0,0,0
281,123,0,0,0,0,0
282,283,0,0,0,0,0
283,218,0,0,0,0,0
284,155,0,0,0,0,0
285,193,0,0,0,0,0
286,368,0,0,0,0,0
287,335,0,0,0,0,0
288,259,0,0,0,0,0
289,239,0,0,0,0,0
290,137,0,0,0,0,0
291,384,0,0,0,0,0
292,223,0,0,0,0,0
293,368,0,0,0,0,0
294,178,0,0,0,0,0
295,145,0,0,0,0,0
296,118,0,0,0,0,0
297,135,0,0,0,0,0
298,129,0,0,0,0,0
299,272,0,0,0,0,0
300,167,0,0,0,0,0
301,112,0,0,0,0,0
302,76,0,0,0,0,0
303,144,0,0,0,0,0
304,301,0,0,0,0,0
305,123,0,0,0,0,0
306,330,0,0,0,0,0
307,213,0,0,0,0,0
308,373,0,0,0,0,0
309,277,0,0,0,0,0
310,213,0,0,0,0,0
311,351,0,0,0,0,0
312,346,0,0,0,0,0
313,273,0,0,0,0,0
314,472,0,0,0,0,0
315,290,0,0,0,0,0
316,232,0,0,0,0,0
317,468,0,0,0,0,0
318,345,0,0,0,0,0
319,195,0,0,0,0,0
320,394,0,0,0,0,0
321,431,0,0,0,0,0
322,302,0,0,0,0,0
323,156,0,0,0,0,0
324,445,0,0,0,0,0
325,243,0,0,0,0,0
326,332,0,0,0,0,0
327,409,0,0,0,0,0
328,200,0,0,0,0,0
329,311,0,0,0,0,0
330,322,0,0,0,0,0
331,455,0,0,0,0,0
332,270,0,0,0,0,0
333,248,0,0,0,0,0
334,157,0,0,0,0,0
335,331,0,0,0,0,0
336,288,0,0,0,0,0
337,395,0,0,0,0,0
338,194,0,0,0,0,0
339,266,0,0,0,0,0
340,252,0,0,0,0,0
341,431,0,0,0,0,0
342,70,0,0,0,0,0
343,442,0,0,0,0,0
344,284,0,0,0,0,0
345,43,0,0,0,0,0
346,319,0,0,0,0,0
347,313,0,0,0,0,0
348,212,0,0,0,0,0
349,325,0,0,0,0,0
350,212,0,0,0,0,0
351,327,0,0,0,0,0
352,230,0,0,0,0,0
353,240,0,0,0,0,0
354,228,0,0,0,0,0
355,462,0,0,0,0,0
356,314,0,0,0,0,0
357,415,0,0,0,0,0
358,485,0,0,0,0,0
359,394,0,0,0,0,0
360,340,0,0,0,0,0
